COA,Org,Funding Org Name,Plan,Grade,Post,Class,Pos Nbr,Dept ID,Position Dept Name,Salary,FTE,Months
BL,BEPP,DEPT OF ECONOMICS & PUBLIC POLICY,AC1,FTX,FT1,PR - Professor,00004834,BL-BUS,KELLEY SCHOOL OF BUSINESS,268200,1,10
BL,THTR,"THEATRE, DRAMA AND CONTEMPORARY DANCE",AC1,FTX,FT3,PT - Assistant Professor,00008043,BL-THTR,"THEATRE, DRAMA AND CONTEMPORAR",70386,1,10
BL,GERM,GERMANIC STUDIES,AC1,FLX,FLS,TS - Senior Lecturer,00028597,BL-GERM,GERMANIC STUDIES,61209,1,10
BL,MEND,JACOBS SCHOOL ENDOWMENTS,AC1,AAJ,AAJ,,00005965,BL-MUS,JACOBS SCHOOL OF MUSIC,148926,1,12
BL,BLAN,DEPT OF BUSINESS LAW & ETHICS,AC1,FTX,FT3,PT - Assistant Professor,00049613,BL-BUS,KELLEY SCHOOL OF BUSINESS,148217,1,10
BL,SWNL,SCHOLARLY COMMUNICATION,AC1,LTX,LT3,LT - Assistant Librarian,00031054,BL-LIBR,LIBRARIES,62000,1,12
BL,CLAS,CLASSICAL STUDIES,AC1,FTX,FT3,PT - Assistant Professor,00004931,BL-CLAS,CLASSICAL STUDIES,80845,1,10
BL,MKTG,MARKETING DEPARTMENT,AC1,FLX,FL5,TL - Lecturer,00052562,BL-BUS,KELLEY SCHOOL OF BUSINESS,86750,1,10
BL,SLS,SECOND LANGUAGE STUDIES,AC1,UCH,UCH,,00034111,BL-SLS,SECOND LANGUAGE STUDIES,42016,1,10
BL,SPEA,THE O'NEILL SCHOOL - BL SPEA,AC1,FLX,FLS,TS - Senior Lecturer,00035324,BL-SPEA,THE O'NEILL SCHOOL - BL SPEA,118165,1,10
BL,CFLT,CTR FOR LEARNING & TECHNOLOGY,AC1,FVX,FV6,,00000694,BL-EDUC,EDUCATION,60000,1,12
BL,CEDP,COUNSELING & EDUCATIONAL PSY,AC1,FTX,FT2,PC - Associate Professor,00033080,BL-EDUC,EDUCATION,93730,1,10
BL,MUSL,MUSIC LIBRARY,AC1,LTX,LT3,LT - Assistant Librarian,00004731,BL-LIBR,LIBRARIES,62000,1,12
BL,CPCS,"COMM, PROF, AND COMPUTER SKILL",AC1,FVX,FV5,TL - Lecturer,00053269,BL-BUS,KELLEY SCHOOL OF BUSINESS,61800,1,10
BL,APHS,APPLIED HEALTH SCIENCE,AC1,FTX,FT1,PR - Professor,00023975,BL-APHS,APPLIED HEALTH SCIENCE,143337,1,10
BL,AMUS,ART MUSEUM,AC1,RSX,RS2,RC - Associate Scientist;Scholar,00005364,BL-AMUS,ART MUSEUM,84159,1,12
BL,INFI,DEPARTMENT OF INFORMATICS,AC1,FLX,FL5,TL - Lecturer,00047296,BL-INFI,DEPARTMENT OF INFORMATICS,73309,1,10
BL,BFIN,FINANCE DEPARTMENT,AC1,FLX,AAM,,00004842,BL-BUS,KELLEY SCHOOL OF BUSINESS,105500,1,10
BL,BLAN,DEPT OF BUSINESS LAW & ETHICS,AC1,FTX,AAL,,00045243,BL-BUS,KELLEY SCHOOL OF BUSINESS,276000,1,12
BL,BEPP,DEPT OF ECONOMICS & PUBLIC POLICY,AC1,FLX,LPS,TS - Senior Lecturer,00049728,BL-BUS,KELLEY SCHOOL OF BUSINESS,101250,1,10
BL,FOLK,FOLKLORE AND ETHNOMUSICOLOGY,AC1,FTX,AAL,,00005096,BL-FOLK,FOLKLORE AND ETHNOMUSICOLOGY,91046,1,10
BL,LAWS,MAURER SCHOOL OF LAW,AC1,FLX,FL5,TL - Lecturer,00005835,BL-LAWS,MAURER SCHOOL OF LAW,77234,1,10
BL,HIST,HISTORY,AC1,FTX,FT1,PR - Professor,00023495,BL-HIST,HISTORY,157191,1,10
BL,CMLT,COMPARATIVE LITERATURE,AC1,FTX,FT1,PR - Professor,00004941,BL-CMLT,COMPARATIVE LITERATURE,102590,1,10
BL,SOAD,ESKENAZI SCHOOL OF ART ARCH + DESIGN,AC1,FVX,FV3,PT - Assistant Professor,00055235,BL-SOAD,ESKENAZI SCHOOL OF ART ARCH + ,42000,1,10
